FALSE,Assigned,Customer,,FORMULA, Current , 1 - 30 , 31 - 60 , 61 - 90 , > 90 , TOTAL ,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Upcoming Payment ,Action Item / Follow-up Items,Mgt. Note Date,Local Management Notes,Days since contact,As Of Date,CPR Status,# Of Jobs In Progress,"# Of Jobs Completed, Pending Payment",CPR Notes,Company
,Sylvia,,"WALSH MONTGOMERY CONSTRUCTION, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45890,"calling accounting no answer, no able to live message caling again tomorrow",,,,273,,,,,,TCS
,Josie,,WATER ASSOCIATES,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45876,Called regarding invoices ending in 167 it also shows he has funds sitting on account need to ask Victoria ,,,,287,,,,,,TCS
,Sylvia,,WATHEN CASTANOS DBA WCP DEVELOPERS,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,Fresno,WEST COST FOOTBALL,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45980,"$850.00 payment tomorrow by check per Anthony, also update all contact information for future invoices.  -talk to Tracy, said he will have accounting reach out to me, nunber on file belongs to a Project Mgr, not accounting or A/P said he will have them call me back",,,,183,,,,,,TCS
,Lui,,WEST VALLEY CONSTRUCTION (PG&E),,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45840,do not contact,,,,323,,,,,,TCS
,Sylvia,,"WESTECH SYSTEMS, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45854,"Marinette replied, payment out yesterday, $395.00 Ck-62052 for June invoices",,,,309,,,,,,TCS
,Josie,,WESTROCK LLC DBA WESTROCK GENERAL ENGINEE,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45944,Sarah emailed said it will be paid in a few weeks Garrett said to email invoice to ap going foward emailed invoices ,,,,219,,,,,,TCS
,Josie,,"WGJ ENTERPRISES, INC (PCI)",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45929,Call to confirm invoice no answer emailed invoice ,,,,234,,,,,,TCS
,Sylvia,,"WILLOW AVENUE NORTH, L.P.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45818,"$3,227.64 Ck-21201 in the mail today per Susan.(sylviag 6-10-25)  --Susan reply back, said She will check with foreman on the Job, is they approve we may get that payment sooner by next week (6-6-25 sylvia)",,,,345,,,,,,TCS
,Sylvia,Fresno,WILSON HOMES INC,,  ,,,,,,,,Contacted,COLLECTION TEAM,WEEKLY,46098,"email Accounting balance report, asking if Feb-28 invoice received and payment information (fresno account)",,,,65,,,,,,TCS
,Lui,,WIRING CONNECTIONS INC.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,46128,0 bal,,,,35,,,,,,TCS
,Sylvia,Modesto,"Womack Striping, Inc.",,  ,,,,,,,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46143,"Invoices received, hope payment in 2weeks, per Marline",,,,20,,,,,,TCS
,Sylvia,,"WOMACK STRIPING, INC. (CASH)",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,WONDERFUL COLLEGE PREP ACADEMY,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,WONDERFUL REAL ESTATE DEVELOPMENT,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Sylvia,,WOODSIDE HOMES.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,TCS
,Josie,,"WOOLWORTH'S, LLC",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45958,Called to confirm she recevied invoice Michelle said she will give Emily the message to confirm she recevied invoice ,,,,205,,,,,,TCS
,Josie,,WORLD OIL CORP.,,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45870,$455.00 Dave email payment information with C.C. today,,,,293,,,,,,TCS
,Josie,,"XTREME PLUMBING SERVICES, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45856,"Called Kim regarding credit card  numbers to confirm they were correct no answer left message waiting for response 
Called again and spoke with Kim she confirmed credit card # we had one wrong # Gave back to Victoria to charge 
credit card went through emailed credit card receipt to Kim ",,,,307,,,,,,TCS
,Sylvia,,"YARBS GRADING AND PAVING, INC.",,  ,,,,,,,Active,Contacted,COLLECTION TEAM,WEEKLY,45967,jordan working on it ,,,,196,,,,,,TCS
,Josie,Bakersfield / OC / AG,FARWEST CORROSION CONTROL COMPANY,, FARWEST CORROSION CONTROL COMPANY ," $ 20,936.75 "," $ 56,433.25 ", $ -   ," $ 27,800.63 ", $ -   ," $ 105,170.63 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46162,"Called to see if Maria  has a payment this week  no answer left message , waiting on response  did not respond to yesterday's email ",,,,1,,,,,,STS
FALSE,Sylvia,,FISHER SAND & GRAVEL CO.,, FISHER SAND & GRAVEL CO. ," $ 86,885.57 ", $ -   , $ -   , $ -   , $ -   ," $ 86,885.57 ",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
,Bryce,OC,"CITYSIDE NETWORKS, LLC",," CITYSIDE NETWORKS, LLC "," $ 34,991.25 "," $ 16,478.75 ", $ -   ," $ 12,077.75 ", $ -   ," $ 63,547.75 ",Active,Contacted,BRANCH MANAGER,WEEKLY,46142,Emailed customer  asked if needed invoices Bryce Said does not need collections assistance ,,,,21,,,,,,STS
,Victoria,Bakersfield,WIRING CONNECTIONS INC.(BAKERSFIELD),, WIRING CONNECTIONS INC.(BAKERSFIELD) ," $ 7,630.26 "," $ 14,455.75 ", $ -   ," $ 13,881.00 "," $ 1,120.00 "," $ 37,087.01 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46062,sent open balance report & requested payment update,,,,101,,,,,,STS
,Bryce,OC / AG / Bakersfield / ,TURN AROUND COMMUNICATIONS,, TURN AROUND COMMUNICATIONS ," $ 6,912.00 "," $ 7,217.00 "," $ 4,483.00 "," $ 9,696.50 "," $ 2,340.00 "," $ 30,648.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46132,sent open balace report,,,,31,,,,,,STS
,Josie,O.C,"CALIFORNIA PROFESSIONAL ENGINEERING, INC.",," CALIFORNIA PROFESSIONAL ENGINEERING, INC. "," $ 20,400.00 "," $ 3,600.00 ", $ -   , $ -   , $ -   ," $ 24,000.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46162,Zen said she is waiting on CPR I emailed Aly regarding cpr waiting on response ,,,,1,,,,,,STS
,Josie,Bakersfield ,BURTCH CONSTRUCTION,, BURTCH CONSTRUCTION ," $ 1,102.00 "," $ 12,696.70 "," $ 3,813.10 "," $ 1,665.00 ", $ -   ," $ 19,276.80 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46162,Asking if there will be  a payment this week / waiting on response ,,,,1,,,,,,STS
,Josie,Bakersfield,"BOWMAN ASPHALT, INC.",," BOWMAN ASPHALT, INC. "," $ 5,068.40 "," $ 9,012.80 ", $ 395.00 ," $ 4,444.20 ", $ -   ," $ 18,920.40 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46150,Said check is ready for pick up put on Slack andJordan said he is on that Side of town and he will pick up ,,,,13,,,,,,STS
,Josie,O.C ,WIRING CONNECTIONS INC. (LOS ANGELES/OC),, WIRING CONNECTIONS INC. (LOS ANGELES/OC) ," $ 3,268.75 "," $ 9,529.51 ", $ -   ," $ 6,078.25 ", $ -   ," $ 18,876.51 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46146,emailed status report asking if she needed invoices also asked for payment update waiting on response ,,,,17,,,,,,STS
FALSE,Sylvia,Bakersfield,PRASAYUS CORP. DBA COUNTRYSIDE CONSTRUCTI,, PRASAYUS CORP. DBA COUNTRYSIDE CONSTRUCTI , $ 850.40 ," $ 4,934.50 "," $ 2,226.00 "," $ 3,633.40 ", $ 205.92 ," $ 11,850.22 ",Active,Contacted,BRANCH MANAGER,WEEKLY,46160,"Tucker asking for another copy of Balance Report showing invoice number along with invoice copies, done email everything to them. (bakersfield account)",,,,3,,,,,,STS
,Lui,AG / Bakersfield,LEO TIDWELL EXCAVATING,, LEO TIDWELL EXCAVATING , $ -   ," $ 11,162.00 ", $ -   , $ -   , $ -   ," $ 11,162.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46132,requested update on paynent and sent open balance ,,,,31,,,,,,STS
,Josie,O.C ,"CENTURY PAVING, INC",," CENTURY PAVING, INC "," $ 2,785.00 "," $ 7,200.00 ", $ -   , $ -   , $ -   ," $ 9,985.00 ",Active,Contacted,BRANCH MANAGER,WEEKLY,46146,Said they have not been paid said it should be in a few weeks ,,,,17,,,,,,STS
FALSE,Sylvia,Bakersfield,"NORTH SKY COMMUNICATIONS, LLC",," NORTH SKY COMMUNICATIONS, LLC ", $ -   ," $ 9,237.50 ", $ -   , $ -   , $ -   ," $ 9,237.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46156,"email balance report to Anna, regarding April invoices (bakersfield account)",,,,7,,,,,,STS
,Victoria,Bakersfield / AG,W. M. LYLES CO,, W. M. LYLES CO , $ -   , $ -   , $ -   , $ -   ," $ 8,551.52 "," $ 8,551.52 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46086,requested update on payment,,,,77,,,,,,STS
,Josie,Bakersfield,REDDIG EXCAVATION,, REDDIG EXCAVATION ," $ 1,081.00 "," $ 5,375.00 ", $ 833.00 , $ 615.50 , $ -   ," $ 7,904.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46150,Called to see if they have gotten paid yet no answer ,,,,13,,,,,,STS
,Josie,Bakersfield ,CITY OF SHAFTER,, CITY OF SHAFTER , $ -   , $ 395.00 , $ -   ," $ 6,635.00 ", $ -   ," $ 7,030.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46147,Emailed Victoria asking if over payment was accurate waiting on response,,,,16,,,,,,STS
,Josie,Bakersfield,"ALLEN GENERAL ENGINEERING, INC.",," ALLEN GENERAL ENGINEERING, INC. ", $ -   ," $ 6,975.20 ", $ -   , $ -   , $ -   ," $ 6,975.20 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46148,Following up once again third requst ,,,,15,,,,,,STS
,Josie,           Bakersfield,BAKERSFIELD BLACK AMERICAN HISTORY PARADE,, BAKERSFIELD BLACK AMERICAN HISTORY PARADE , $ -   , $ -   ," $ 6,700.00 ", $ -   , $ -   ," $ 6,700.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46156,Called twice  no answer  ,,,,7,,,,,,STS
,Josie,Bakersfield,KERN PACIFIC CONSTRUCTION,, KERN PACIFIC CONSTRUCTION , $ -   ," $ 3,560.00 ", $ -   ," $ 2,850.00 ", $ -   ," $ 6,410.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46156,Paid two invoices wiht credit card ,,,,7,,,,,,STS
,Josie,                   O.C.,THE FISHEL COMPANY,, THE FISHEL COMPANY , $ 895.00 , $ -   , $ -   ," $ 5,356.50 ", $ -   ," $ 6,251.50 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46118,Emailed customer asking for payment remit responded gave Victoria where funds are to be applied to in the amount of ,,,,45,,,,,,STS
FALSE,Sylvia,Orange County,SE PIPELINE CONSTRUCTION,, SE PIPELINE CONSTRUCTION ," $ 5,660.00 ", $ -   , $ -   , $ -   , $ -   ," $ 5,660.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46085,"Rosa replied to email, asking for back up on the January-3 invoice, asking Ashley for help Orange County. ",,,,78,,,,,,STS
,Victoria,Bakersfield,GRIFFITH COMPANY,, GRIFFITH COMPANY ," $ 3,784.00 "," $ 1,455.00 ", $ -   , $ -   , $ -   ," $ 5,239.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46125,ashley responded with update. trying to get joint checks.,,,,38,,,,,,STS
,Josie,Bakersfield,WALLACE & SMITH GENERAL CONTRACTORS,, WALLACE & SMITH GENERAL CONTRACTORS , $ 851.00 ," $ 2,571.00 "," $ 1,135.50 ", $ 367.75 , $ -   ," $ 4,925.25 ",Active,Paid,COLLECTION TEAM,WEEKLY,46153,Anna requested four invoices emailed to her  waiting on response for payment update ,,,,10,,,,,,STS
,Lui,Bakersfield ,"RUBEN'S PIPELINE, INC.",," RUBEN'S PIPELINE, INC. "," $ 3,425.00 ", $ -   , $ 192.08 ," $ 1,037.88 ", $ 97.44 ," $ 4,752.40 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46119,sent open balance report. waiting for reply,,,,44,,,,,,STS
FALSE,Sylvia,Arroyo Grande,SW CONSTRUCTION,, SW CONSTRUCTION ," $ 1,702.00 "," $ 1,886.30 ", $ -   ," $ 1,058.00 ", $ -   ," $ 4,646.30 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46160,"Shelley replie to email, said they have not received payment from Gosmer Grove project, so waiting on payment. (arroyo grande)",,,,3,,,,,,STS
,Josie,Bakersfield / O.C,"SOILS ENGINEERING, INC",," SOILS ENGINEERING, INC ", $ -   , $ -   ," $ 3,462.40 "," $ 1,145.00 ", $ -   ," $ 4,607.40 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46156,Emailed asking if there would be a payment this week waiting on response ,,,,7,,,,,,STS
FALSE,Sylvia,Orange County,SERVITEK ELECTRIC INC,, SERVITEK ELECTRIC INC , $ -   , $ -   , $ -   ," $ 4,550.00 ", $ -   ," $ 4,550.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,"Diane replied said the City has not processed our invoice yeat. so still waiting on the city of Anaheim, per Diane. (orange county)",,,,6,,,,,,STS
FALSE,Sylvia,Bakersfield,"INNERLINE ENGINEERING, INC.",," INNERLINE ENGINEERING, INC. ", $ -   , $ 395.00 ," $ 1,175.00 "," $ 2,880.00 ", $ -   ," $ 4,450.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,"Taylor replied said, $795.00 Ck-8151 out on 4-23  &  $600.00 Ck-8175 out on 5-11; I am asking Taylor what address those checks were sent to?  (bakersfield job)",,,,6,,,,,,STS
,Josie,,UNDERGROUND PIPELINE SPECIALTY INC.,, UNDERGROUND PIPELINE SPECIALTY INC. , $ 336.00 ," $ 1,770.00 "," $ 1,305.00 ", $ 288.00 , $ 550.00 ," $ 4,249.00 ",ON HOLD,Uncollectable,VP/HIGH LEVEL,WEEKLY,46143,Emailed Steven asking if we are servicing this customer being they were on hold and  they have a current invoice  2nd request ,,,,20,,,,,,STS
,Josie,Bakersfield,"KYA SERVICES, LLC",," KYA SERVICES, LLC ", $ -   ," $ 2,436.40 "," $ 1,673.20 ", $ -   , $ -   ," $ 4,109.60 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46148,Waiting on CAC invoices also Athena has not sent the check stubs ,,,,15,,,,,,STS
,Josie,Bakersfield,ALLY ENTERPRISES,, ALLY ENTERPRISES ," $ 1,120.00 "," $ 1,680.00 ", $ 560.00 , $ 560.00 , $ -   ," $ 3,920.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46148,Fowarded email that I sent to Jenny to day's ago waiting on response ,,,,15,,,,,,STS
,Lui,OC,CALIFORNIA TRAFFIC CONTROL,, CALIFORNIA TRAFFIC CONTROL , $ -   , $ -   , $ -   ," $ 3,500.00 ", $ -   ," $ 3,500.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46147,"Text Elijah about open balance, Told him I sent Kelly the invoice, he responded that he would follow up with her",,,,16,,,,,,STS
FALSE,Sylvia,Bakersfield,CARBON SUPPLY INC,, CARBON SUPPLY INC , $ -   ," $ 3,126.36 ", $ -   , $ -   , $ -   ," $ 3,126.36 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46161,"emailed Martha, asking if the April-18 invoice was received, (bakersfield account)",,,,2,,,,,,STS
,Josie,O.C  /Bakersfield ,DOTY BROS EQUIPMENT CO.,, DOTY BROS EQUIPMENT CO. , $ -   , $ 595.00 ," $ 2,345.00 ", $ -   , $ -   ," $ 2,940.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46148,Called left voice mail for Brenda regarding past due and balance waiting on response ,,,,15,,,,,,STS
FALSE,Sylvia,Orange County / Bakersfield,"MILLER EQUIPMENT COMPANY, INC.",," MILLER EQUIPMENT COMPANY, INC. "," $ 2,595.00 ", $ 495.00 , $ -   , $ -   , $ (762.00)," $ 2,328.00 ",Active,Contacted,BRANCH MANAGER,WEEKLY,46156,"emailed balance report to Angela, April invoices, (orange county)",,,,7,,,,,,STS
FALSE,Sylvia,Bakersfield,"NEXUS 3D CONSULTING, LLC",," NEXUS 3D CONSULTING, LLC ", $ -   , $ -   , $ -   , $ 395.00 ," $ 1,861.50 "," $ 2,256.50 ",Active,Contacted,BRANCH MANAGER,WEEKLY,46161,"payment this friday per Aaron. -following up on payment as promised for this week with Michele, waiting for a response (bakersfield account)",,,,2,,,,,,STS
,Josie,,STOCKBRIDGE GENERAL CONTRACTING,, STOCKBRIDGE GENERAL CONTRACTING ," $ 2,250.00 ", $ -   , $ -   , $ -   , $ -   ," $ 2,250.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
FALSE,Sylvia,Bakersfield,KERN OIL & REFINING CO. DBA KERN ENERGY,, KERN OIL & REFINING CO. DBA KERN ENERGY , $ 395.00 ," $ 1,575.00 ", $ -   , $ -   , $ -   ," $ 1,970.00 ",Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46161,"$1,575.00 with ACH payment on May-17th per Jessica, (bakersfield job)",,,,2,,,,,,STS
FALSE,Sylvia,Bakersfield,WATER ASSOCIATES,, WATER ASSOCIATES , $ -   , $ -   , $ -   ," $ 1,910.00 ", $ -   ," $ 1,910.00 ",Active,Paid,COLLECTION TEAM,WEEKLY,46160,"$1,910.00 Ck-4284 payment out Thursday per Sylvia for the Feb-7 invoice, account paid in full. (bakersfield account)",,,,3,,,,,,STS
FALSE,Sylvia,Bakersfield,"TRICOM NETWORKS, INC.",," TRICOM NETWORKS, INC. ", $ 925.00 , $ -   , $ 925.00 , $ -   , $ -   ," $ 1,850.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46161,"Judy replied said she should have an update by end of week. -emailed balance report to Judy for the April invoices, asking for payment update, (bakersfield account)",,,,2,,,,,,STS
FALSE,Sylvia,Bakersfield,CVIN LLC,, CVIN LLC , $ -   , $ -   , $ 395.00 , $ -   ," $ 1,430.00 "," $ 1,825.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46156,"emailTrent, Seth, Lui, asking if they could help issuing a credit or revised invoice #00003036STB as promised by Steven, (bakersfield account)",,,,7,,,,,,STS
,Josie,Bakersfield ,KERN ASPHALT,, KERN ASPHALT , $ -   , $ 395.00 , $ -   ," $ 1,255.00 ", $ -   ," $ 1,650.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46147,Cust emailed back stating that they do not owe and they have reached out to Jordan mailed a copy of tcp asking for payment date waiting on response ,,,,16,,,,,,STS
FALSE,Sylvia,Bakersfield,Tierra Construction,, Tierra Construction , $ -   ," $ 1,129.00 ", $ 395.00 , $ -   , $ -   ," $ 1,524.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46157,"$1,524.00 with Credit Card today Paid in full.  -following up on payment with Raul, also left a message regarding payment update on the Feb-28 & March-28 invoices. (bakersfield job)",,,,6,,,,,,STS
FALSE,Sylvia,bakersfield,CENTRAL VALLEY PIPELINE & EXCAVATION,, CENTRAL VALLEY PIPELINE & EXCAVATION , $ -   , $ -   , $ 842.00 , $ 395.00 , $ -   ," $ 1,237.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46155,"emailed Lacey balance report, asking for payment information on those Feb, March invoices (bakersfield account)",,,,8,,,,,,STS
,Josie,OC,SEA POINTE ESTATES HOMEOWNERS ASSOCIATION,, SEA POINTE ESTATES HOMEOWNERS ASSOCIATION , $ -   ," $ 1,185.00 ", $ -   , $ -   , $ -   ," $ 1,185.00 ",Active,Contacted,COLLECTION TEAM,WEEKLY,46147,Requested up date on payment for invoice 00004391,,,,16,,,,,,STS
FALSE,Sylvia,Arroyo Grande,HAYES CONSTRUCTION COMPANY.,, HAYES CONSTRUCTION COMPANY. , $ -   , $ 825.00 , $ -   , $ -   , $ -   , $ 825.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46156,"following up with Lisa, see if any new update on payment. March-28 invoice (arroyo grande)",,,,7,,,,,,STS
,Josie,Fresno,AMERICAN CONSTRUCTION & EXCAVATION,, AMERICAN CONSTRUCTION & EXCAVATION , $ -   , $ 790.00 , $ -   , $ -   , $ -   , $ 790.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46143,Emailed status report asking for payment update  waiting on response ,,,,20,,,,,,STS
,Josie,Bakersfield,CITY OF DELANO,, CITY OF DELANO , $ 395.00 , $ -   , $ -   , $ 395.00 , $ -   , $ 790.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46147,Emailed customer asking if he was able to locate check  50334,,,,16,,,,,,STS
,Josie,Bakersfield,NICHOLAS CONSTRUCTION,, NICHOLAS CONSTRUCTION , $ -   , $ -   , $ -   , $ 763.84 , $ -   , $ 763.84 ,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
,Lui,OC / Bakersfield,W.A. RASIC CONSTRUCTION,, W.A. RASIC CONSTRUCTION , $ -   , $ 745.00 , $ -   , $ -   , $ -   , $ 745.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46113,bryce working on it,,,,50,,,,,,STS
FALSE,Sylvia,Bakersfield,RLH FIRE PROTECTION,, RLH FIRE PROTECTION , $ -   , $ 551.96 , $ -   , $ 144.00 , $ -   , $ 695.96 ,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46161,$551.00 Ck-10043 out yesterday as promise per Rebecca.,,,,2,,,,,,STS
,Josie,,"WGJ ENTERPRISES, INC (PCI)",," WGJ ENTERPRISES, INC (PCI) ", $ -   , $ -   , $ -   , $ -   , $ 630.00 , $ 630.00 ,Active,Uncollectable,VP/HIGH LEVEL,WEEKLY,46146,Reached  out to Bryce asking if he responded to customer   ,,,,17,,,,,,STS
,Josie,Bakersfield,ERNESTO SILVA ESCOBAR,, ERNESTO SILVA ESCOBAR , $ -   , $ -   , $ -   , $ -   , $ 552.20 , $ 552.20 ,ON HOLD,Uncollectable,VP/HIGH LEVEL,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
,Josie,bakersfield,BAKERSFIELD HOUSE ACCOUNT,, BAKERSFIELD HOUSE ACCOUNT , $ 19.81 , $ 139.00 , $ 21.00 , $ 155.27 , $ 180.70 , $ 515.78 ,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
,Josie,Bakersfield,"FAMILIA VIVA MARKET, LP",," FAMILIA VIVA MARKET, LP ", $ -   , $ 498.04 , $ -   , $ -   , $ -   , $ 498.04 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46146,Emailed invoice asking for payment  being terms said credit card waiting on response ,,,,17,,,,,,STS
,Josie,Bakersfield,KLASSEN CORPORATION,, KLASSEN CORPORATION , $ -   , $ 450.00 , $ -   , $ -   , $ -   , $ 450.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46115,sarahbeth said she would work on fixing the proble with portal,,,,48,,,,,,STS
,Josie,,GPHI,, GPHI , $ -   , $ -   , $ -   , $ -   , $ 395.00 , $ 395.00 ,Active,Uncollectable,VP/HIGH LEVEL,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
,Lui,Bakersfield,"HERMAN WEISSKER, INC",," HERMAN WEISSKER, INC ", $ -   , $ -   , $ -   , $ -   , $ 395.00 , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46120,requested update on payment,,,,43,,,,,,STS
,Josie,Bakersfield ,WONDERFUL REAL ESTATE DEVELOPMENT,, WONDERFUL REAL ESTATE DEVELOPMENT , $ -   , $ -   , $ -   , $ -   , $ 395.00 , $ 395.00 ,Active,Roadblock,COLLECTION TEAM,WEEKLY,46148,wanted to know what job the tcp let her know it was for Driver Rd & Express  waiting on response ,,,,15,,,,,,STS
FALSE,Sylvia,Bakersfield,W. M. LYLES CO.,, W. M. LYLES CO. , $ -   , $ 395.00 , $ -   , $ -   , $ -   , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46108,"receptionist mention i will have to call back, Accouning dept in a meeting.",,,,55,,,,,,STS
,Josie,Bakersfield,"CURTIS ELECTRICAL CONSTRUCTION, INC.",," CURTIS ELECTRICAL CONSTRUCTION, INC. ", $ -   , $ -   , $ -   , $ 395.00 , $ -   , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46147,"Called number we have in TCR no answer, reached out to Bako for help waiting on response ",,,,16,,,,,,STS
FALSE,Sylvia,Bakersfield,LOUIS DUARTE,, LOUIS DUARTE , $ -   , $ -   , $ 395.00 , $ -   , $ -   , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46156,"left message for Louis or someone in A/P regerding Feb-28 invoice, also following up by email again, i cannot get a hold of accounting (bakersfield account)",,,,7,,,,,,STS
FALSE,Sylvia,,"GANEM CONSTRUCTION, LLC",," GANEM CONSTRUCTION, LLC ", $ 395.00 , $ -   , $ -   , $ -   , $ -   , $ 395.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
FALSE,Sylvia,Bakersfield,BRASWELL,, BRASWELL , $ -   , $ 283.20 , $ -   , $ -   , $ -   , $ 283.20 ,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,46155,"emailed balance report to Emily, April invoices (bakersfield job)",,,,8,,,,,,STS
,Josie,Bakersfield,"USA DIRECTIONAL BORE, INC.",," USA DIRECTIONAL BORE, INC. ", $ 31.36 , $ 112.00 , $ -   , $ 31.36 , $ -   , $ 174.72 ,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED,,,,,,STS
FALSE,Sylvia,,SO CAL GAS,, SO CAL GAS , $ 95.91 , $ -   , $ -   , $ -   , $ -   , $ 95.91 ,Active,Contacted,COLLECTION TEAM,WEEKLY,45950,Joan not available and not able to live message for the April-invoice,,,,213,,,,,,STS
,Josie,Bakersfield,TRINITY SAFETY CO.,, TRINITY SAFETY CO. , $ -   , $ 95.00 , $ -   , $ -   , $ -   , $ 95.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46134,said those invoices need to go to her need to have the name removed from invoices ,,,,29,,,,,,STS
,Josie,Bakersfield ,BAKERSFIELD CONCRETE LP,, BAKERSFIELD CONCRETE LP , $ -   , $ -   , $ 42.00 , $ -   , $ -   , $ 42.00 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46150,Said check # 8430 for $126.00 went out today 5/8/26,,,,13,,,,,,STS
,Josie,Bakersfield ,BOWMAN CONSTRUCTION LLC,, BOWMAN CONSTRUCTION LLC , $ -   , $ 40.32 , $ -   , $ -   , $ -   , $ 40.32 ,Active,Contacted,COLLECTION TEAM,WEEKLY,46134,Emailed Dawn copy of invoice waiting on response ,,,,29,,,,,,STS
